country_txt,iyear,provstate
United States,1970,District of Columbia
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,Florida
Philippines,1970,Pampanga
United States,1970,New York
United States,1970,Ohio
United States,1970,California
United States,1970,California
United States,1970,Illinois
United States,1970,Georgia
United States,1970,District of Columbia
United States,1970,Washington
United States,1970,Michigan
United States,1970,New York
United States,1970,Texas
Philippines,1970,Pampanga
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,Washington
United States,1970,California
United States,1970,California
United States,1970,New York
United States,1970,Texas
United States,1970,Kansas
United States,1970,Kansas
United States,1970,California
United States,1970,Illinois
United States,1970,California
United States,1970,New York
United States,1970,Texas
United States,1970,California
United States,1970,Missouri
United States,1970,Missouri
United States,1970,Missouri
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,Missouri
United States,1970,Missouri
United States,1970,Missouri
United States,1970,California
United States,1970,California
United States,1970,Washington
United States,1970,Washington
United States,1970,Washington
United States,1970,Washington
United States,1970,New York
United States,1970,Kansas
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,Wisconsin
United States,1970,Illinois
United States,1970,California
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,California
United States,1970,Maryland
United States,1970,New York
United States,1970,New York
Turkey,1970,Istanbul
United States,1970,Pennsylvania
United States,1970,Michigan
United States,1970,Michigan
United States,1970,Michigan
United States,1970,Louisiana
United States,1970,Louisiana
United States,1970,Minnesota
United States,1970,Iowa
United States,1970,Connecticut
United States,1970,Illinois
United States,1970,California
United States,1970,Iowa
United States,1970,Missouri
United States,1970,New York
United States,1970,Louisiana
United States,1970,Massachusetts
United States,1970,Puerto Rico
United States,1970,New York
United States,1970,Indiana
United States,1970,Connecticut
United States,1970,New York
United States,1970,New York
United States,1970,Illinois
United States,1970,Illinois
United States,1970,Maryland
United States,1970,North Carolina
United States,1970,Oklahoma
United States,1970,Missouri
United States,1970,Idaho
United States,1970,Florida
United States,1970,Florida
United States,1970,New York
United States,1970,California
United States,1970,Washington
United States,1970,Pennsylvania
United States,1970,Oregon
United States,1970,California
United States,1970,Oregon
United States,1970,Massachusetts
United States,1970,New York
United States,1970,Connecticut
United States,1970,New York
United States,1970,California
United States,1970,California
United States,1970,District of Columbia
United States,1970,Texas
United States,1970,Michigan
United States,1970,Iowa
United States,1970,Utah
United States,1970,North Carolina
United States,1970,Florida
United States,1970,Massachusetts
United States,1970,New York
United States,1970,California
United States,1970,North Carolina
United States,1970,Washington
United States,1970,New York
United States,1970,Missouri
United States,1970,Florida
United States,1970,Pennsylvania
United States,1970,Florida
United States,1970,California
United States,1970,New York
United States,1970,Minnesota
United States,1970,Iowa
United States,1970,North Carolina
United States,1970,North Carolina
United States,1970,North Carolina
United States,1970,California
United States,1970,Massachusetts
United States,1970,Massachusetts
United States,1970,California
United States,1970,Arizona
United States,1970,New York
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,New York
Philippines,1970,Capiz
United States,1970,Louisiana
United States,1970,Illinois
United States,1970,Oregon
United States,1970,California
United States,1970,California
Philippines,1970,Metropolitan Manila
United States,1970,New York
United States,1970,California
United States,1970,California
United States,1970,Illinois
United States,1970,California
United States,1970,New York
United States,1970,Illinois
United States,1970,New Jersey
United States,1970,Nebraska
United States,1970,Illinois
United States,1970,Illinois
United States,1970,Iowa
United States,1970,Missouri
United States,1970,California
United States,1970,California
United States,1970,New York
United States,1970,New York
United States,1970,California
United States,1970,California
United States,1970,Illinois
United States,1970,California
United States,1970,Iowa
United States,1970,California
United States,1970,New York
United States,1970,Texas
United Kingdom,1970,Northern Ireland
United Kingdom,1970,Northern Ireland
United Kingdom,1970,Northern Ireland
United Kingdom,1970,Northern Ireland
United Kingdom,1970,Northern Ireland
United States,1970,Michigan
United States,1970,Iowa
United States,1970,Wisconsin
United States,1970,New Jersey
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,Wisconsin
United States,1970,Massachusetts
United States,1970,District of Columbia
United States,1970,California
United States,1970,District of Columbia
United States,1970,District of Columbia
United States,1970,District of Columbia
United States,1970,District of Columbia
United States,1970,Nebraska
United States,1970,California
United States,1970,New York
United States,1970,Washington
United States,1970,New York
United States,1970,New York
United States,1970,Texas
United States,1970,Ohio
United States,1970,New York
United States,1970,California
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,Alabama
United States,1970,California
United States,1970,Illinois
Colombia,1970,Caldas
United States,1970,Massachusetts
United States,1970,California
United States,1970,Illinois
United States,1970,New York
United States,1970,Illinois
United States,1970,New York
United States,1970,Minnesota
United States,1970,Illinois
United States,1970,New York
United States,1970,New York
United States,1970,California
United States,1970,New York
United States,1970,Wisconsin
United States,1970,Wisconsin
United States,1970,New Jersey
United States,1970,California
United States,1970,New York
United States,1970,Missouri
United States,1970,Wisconsin
United States,1970,New York
United States,1970,Wisconsin
United States,1970,Wisconsin
United States,1970,California
United States,1970,California
United States,1970,Texas
Spain,1970,Navarre
United States,1970,California
United States,1970,Illinois
United States,1970,North Carolina
United States,1970,New York
United States,1970,California
United States,1970,Wisconsin
United States,1970,California
United States,1970,California
United States,1970,Maryland
United States,1970,California
United States,1970,Oregon
United Kingdom,1970,Northern Ireland
United States,1970,Mississippi
United States,1970,Nebraska
United States,1970,Minnesota
United States,1970,New York
United States,1970,District of Columbia
United States,1970,Maryland
United States,1970,California
United States,1970,Oregon
United States,1970,Minnesota
United States,1970,Maryland
United States,1970,Wisconsin
United States,1970,Massachusetts
United States,1970,Massachusetts
United States,1970,North Carolina
United States,1970,California
United States,1970,District of Columbia
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,District of Columbia
United States,1970,Georgia
Turkey,1970,Ankara
United States,1970,Pennsylvania
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,Tennessee
United States,1970,Minnesota
United Kingdom,1970,Northern Ireland
United States,1970,Wisconsin
United States,1970,California
United States,1970,Iowa
United States,1970,California
United States,1970,Massachusetts
United States,1970,Wisconsin
United States,1970,Florida
United Kingdom,1970,England
United States,1970,Ohio
United States,1970,Massachusetts
United States,1970,Massachusetts
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,New York
United Kingdom,1970,Northern Ireland
United States,1970,Maryland
Turkey,1970,Izmir
United States,1970,Oregon
United States,1970,Maryland
Turkey,1970,Ankara
Turkey,1970,Ankara
United States,1970,Illinois
United States,1970,West Virginia
Turkey,1970,Ankara
United States,1970,New York
United States,1970,Washington
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,Texas
United States,1970,New York
United States,1970,Massachusetts
United States,1970,Massachusetts
United States,1970,Missouri
United States,1970,California
United States,1970,California
United States,1970,Illinois
United States,1970,Illinois
United States,1970,California
United States,1970,Michigan
United States,1970,Illinois
United States,1970,Illinois
United States,1970,District of Columbia
United States,1970,California
Turkey,1970,Ankara
United Kingdom,1970,England
United States,1970,Florida
United States,1970,Wisconsin
United States,1970,California
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,New York
Pakistan,1970,Sindh
United States,1970,California
United States,1970,California
United States,1970,Pennsylvania
United States,1970,Michigan
United States,1970,Illinois
United States,1970,Minnesota
United States,1970,Illinois
Turkey,1970,Ankara
United States,1970,Illinois
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,Florida
United Kingdom,1970,Northern Ireland
United States,1970,Florida
Turkey,1970,Ankara
United States,1970,Oregon
United States,1970,Tennessee
Philippines,1970,Metropolitian Manila
United States,1970,Florida
United States,1970,Puerto Rico
Turkey,1970,Ankara
United States,1970,New York
United States,1970,New York
United States,1970,California
United States,1970,Puerto Rico
Spain,1970,Gipuzcoa
United States,1970,Oregon
United States,1970,Kansas
United States,1970,New York
United States,1970,Connecticut
United States,1970,California
United States,1970,Connecticut
United States,1970,Florida
United States,1970,California
United States,1970,Wisconsin
United Kingdom,1970,Northern Ireland
Turkey,1970,Ankara
United States,1970,Georgia
Turkey,1970,Ankara
Spain,1970,Burgos
United States,1970,California
United States,1971,North Carolina
United States,1971,California
United States,1971,California
United States,1971,California
Turkey,1971,Malatya
United States,1971,District of Columbia
United States,1971,California
United States,1971,California
Turkey,1971,Ankara
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,California
United States,1971,California
United States,1971,Ohio
Turkey,1971,Ankara
Turkey,1971,Ankara
United States,1971,New York
Turkey,1971,Ankara
Turkey,1971,Ankara
United States,1971,Florida
United Kingdom,1971,Northern Ireland
Turkey,1971,Ankara
United States,1971,California
Turkey,1971,Izmir
Turkey,1971,Izmir
United States,1971,California
United States,1971,North Carolina
United States,1971,California
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
Turkey,1971,Ankara
United Kingdom,1971,Northern Ireland
United States,1971,Florida
Turkey,1971,Ankara
United States,1971,Ohio
Turkey,1971,Ankara
Philippines,1971,Metropolitian Manila
Turkey,1971,Ankara
United States,1971,California
United States,1971,Georgia
United States,1971,Pennsylvania
Turkey,1971,Ankara
United Kingdom,1971,Northern Ireland
United States,1971,Puerto Rico
United States,1971,Puerto Rico
United States,1971,Puerto Rico
United States,1971,Puerto Rico
United States,1971,Puerto Rico
Turkey,1971,Ankara
Turkey,1971,Istanbul
Turkey,1971,Istanbul
Turkey,1971,Ankara
United States,1971,Florida
Turkey,1971,Ankara
United States,1971,California
United Kingdom,1971,Northern Ireland
United States,1971,Hawaii
United States,1971,California
United States,1971,Puerto Rico
Philippines,1971,Pampanga
United States,1971,California
United States,1971,District of Columbia
United States,1971,New York
United States,1971,New York
United States,1971,California
United States,1971,California
Turkey,1971,Ankara
United States,1971,Hawaii
United States,1971,Texas
United States,1971,Texas
United States,1971,Texas
United States,1971,Texas
United Kingdom,1971,Northern Ireland
United States,1971,Missouri
United States,1971,Missouri
United States,1971,Colorado
United Kingdom,1971,Northern Ireland
United States,1971,Texas
United States,1971,Oregon
Turkey,1971,Istanbul
Turkey,1971,Istanbul
United States,1971,California
United States,1971,California
United States,1971,New York
Spain,1971,Santa Cruz de Tenerife
United States,1971,Florida
United States,1971,New York
United States,1971,Massachusetts
United States,1971,California
United States,1971,Michigan
United States,1971,California
Turkey,1971,Ankara
United States,1971,Maryland
Turkey,1971,Izmir
United States,1971,California
United States,1971,New York
Philippines,1971,Metropolitian Manila
United States,1971,New York
United States,1971,Colorado
United States,1971,California
Spain,1971,Madrid
United States,1971,California
Spain,1971,Barcelona
United States,1971,California
United States,1971,Michigan
United States,1971,Georgia
United States,1971,California
United States,1971,Puerto Rico
United States,1971,Puerto Rico
Turkey,1971,Ankara
Turkey,1971,Ankara
Turkey,1971,Ankara
United States,1971,California
United States,1971,California
United States,1971,California
Turkey,1971,Ankara
United States,1971,New York
United States,1971,California
United States,1971,Puerto Rico
United States,1971,California
United States,1971,New York
United States,1971,New York
Spain,1971,Barcelona
United States,1971,New York
United States,1971,Puerto Rico
United States,1971,California
United States,1971,California
United States,1971,Minnesota
United States,1971,New York
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,Ohio
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,Massachusetts
United States,1971,California
Spain,1971,Navarre
Turkey,1971,Ankara
United States,1971,California
United States,1971,California
United States,1971,California
Spain,1971,Barcelona
United States,1971,California
United States,1971,California
United States,1971,Arizona
United States,1971,Kansas
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,Nevada
United States,1971,Iowa
Spain,1971,Gipuzcoa
United Kingdom,1971,Northern Ireland
United States,1971,California
United States,1971,California
United States,1971,North Carolina
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,Maryland
United States,1971,Florida
United States,1971,Illinois
Turkey,1971,Ankara
Turkey,1971,Istanbul
United States,1971,New York
United States,1971,California
United States,1971,New York
United States,1971,California
United Kingdom,1971,Northern Ireland
United States,1971,California
United States,1971,California
United Kingdom,1971,Northern Ireland
United States,1971,Illinois
Spain,1971,Gipuzcoa
United States,1971,Illinois
United States,1971,California
Spain,1971,Valencia
United States,1971,New York
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
Spain,1971,Madrid
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,New York
United States,1971,California
United States,1971,New York
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,New York
United States,1971,California
Spain,1971,Biscay
United States,1971,New York
United States,1971,California
Spain,1971,Navarre
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,Rhode Island
United States,1971,California
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
Spain,1971,Gipuzcoa
Spain,1971,Madrid
Spain,1971,Lerida
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,New York
Turkey,1971,Izmir
United States,1971,California
Spain,1971,Barcelona
United States,1971,California
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,New York
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,Pennsylvania
United Kingdom,1971,Northern Ireland
United States,1971,Georgia
United States,1971,Georgia
United States,1971,Vermont
United States,1971,Ohio
United States,1971,New York
United States,1971,New Jersey
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,New Jersey
United States,1971,New Jersey
United States,1971,New Jersey
United States,1971,New Jersey
United States,1971,New Jersey
United States,1971,New York
United States,1971,New York
Spain,1971,Madrid
United States,1971,Indiana
Spain,1971,Madrid
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United States,1971,California
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,Michigan
United States,1971,Georgia
United States,1971,North Carolina
United States,1971,North Carolina
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,California
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,New York
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,New Jersey
United States,1971,New York
United States,1971,New York
United States,1971,New York
United States,1971,California
United States,1971,Oregon
United States,1971,Michigan
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,England
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,Florida
United Kingdom,1971,Northern Ireland
United States,1971,Georgia
United Kingdom,1971,Northern Ireland
Turkey,1971,Istanbul
United States,1971,California
United States,1971,California
United States,1971,Massachusetts
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,California
United States,1971,New York
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,New York
United Kingdom,1971,Northern Ireland
Spain,1971,Barcelona
United States,1971,California
United Kingdom,1971,Northern Ireland
United States,1971,Georgia
Turkey,1971,Izmir
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,New York
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,Oklahoma
United States,1971,Massachusetts
United States,1971,California
United States,1971,Oklahoma
United States,1971,Oklahoma
United States,1971,Idaho
United States,1971,Massachusetts
United States,1971,New York
United Kingdom,1971,Northern Ireland
United States,1971,New Jersey
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
Egypt,1971,Cairo
United Kingdom,1971,Northern Ireland
Spain,1971,Gipuzcoa
United Kingdom,1971,Northern Ireland
United States,1971,Ohio
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,New York
United Kingdom,1971,Northern Ireland
United States,1971,Minnesota
United States,1971,California
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
Spain,1971,Gipuzcoa
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,England
United States,1971,Massachusetts
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United Kingdom,1971,Northern Ireland
United States,1971,Massachusetts
United Kingdom,1971,Northern Ireland
United States,1971,New Jersey
Turkey,1971,Ankara
United Kingdom,1971,Northern Ireland
Philippines,1972,Capiz
Spain,1972,Biscay
United Kingdom,1972,Northern Ireland
United States,1972,New York
United States,1972,California
United States,1972,California
United States,1972,California
United States,1972,Illinois
United States,1972,Illinois
United States,1972,Illinois
United States,1972,New York
United States,1972,New York
United States,1972,New York
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Turkey,1972,Ankara
United States,1972,California
United States,1972,California
United Kingdom,1972,Northern Ireland
Spain,1972,Madrid
United Kingdom,1972,Northern Ireland
United States,1972,New York
United States,1972,New York
United States,1972,New York
United States,1972,New York
United Kingdom,1972,Northern Ireland
United States,1972,New York
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,California
United States,1972,Mississippi
United States,1972,California
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,New Hampshire
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Egypt,1972,Cairo
United Kingdom,1972,Northern Ireland
United Kingdom,1972,England
United Kingdom,1972,England
India,1972,Delhi
Spain,1972,Madrid
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,Puerto Rico
United States,1972,Puerto Rico
United States,1972,New York
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Spain,1972,Madrid
Spain,1972,Madrid
Spain,1972,Madrid
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,New York
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,New York
Spain,1972,Barcelona
Spain,1972,Biscay
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Turkey,1972,Ordu
United Kingdom,1972,Northern Ireland
Philippines,1972,Pampanga
Philippines,1972,Isabela
United Kingdom,1972,Northern Ireland
United States,1972,Florida
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,California
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Spain,1972,Barcelona
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,California
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Spain,1972,Gipuzcoa
Turkey,1972,Istanbul
Turkey,1972,Istanbul
Spain,1972,Barcelona
Turkey,1972,Ankara
Turkey,1972,Ankara
Turkey,1972,Ankara
United Kingdom,1972,Northern Ireland
Turkey,1972,Ankara
United States,1972,California
United States,1972,California
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,New York
United States,1972,California
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Spain,1972,Barcelona
Spain,1972,Barcelona
United States,1972,District of Columbia
United Kingdom,1972,Northern Ireland
United States,1972,California
United Kingdom,1972,Northern Ireland
United States,1972,Puerto Rico
United States,1972,New York
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,New York
France,1972,Paris
France,1972,Paris
France,1972,Paris
France,1972,Paris
United Kingdom,1972,Northern Ireland
United States,1972,New Jersey
United Kingdom,1972,Northern Ireland
United States,1972,New York
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Spain,1972,Biscay
United States,1972,Washington
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,Puerto Rico
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,California
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Philippines,1972,Pampanga
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Philippines,1972,Metropolitan Manila
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Colombia,1972,Bogota
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
Philippines,1972,Pampanga
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United States,1972,Florida
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
United Kingdom,1972,Northern Ireland
